"Palabra","Palabra.1","Palabra.2","Palabra.3","Palabra.4","Palabra.5","Palabra.6","Palabra.7","Palabra.8","Palabra.9","Palabra.10","Palabra.11","Palabra.12","Palabra.13","Palabra.14","Palabra.15","Palabra.16","Palabra.17","Palabra.18","Palabra.19","Palabra.20"
"São Paulo, Brasil","São Paulo (Brasil)","Sao Paulo, Brasil","Sâo Paulo, Brasil","Sao Paulo (Brasil)","","","","","","","","","","","","","","","",""
"París (Francia)","Paris (Francia)","París, Francia","Paris, Francia","París (francia)","","","","","","","","","","","","","","","",""
"Reconstrucción (1939-****)","Reconstrucción (1939- )","Reconstrucción (1939-)","Reconstrucción, (1939-****)","Reconstrucción (1939-*****)","","","","","","","","","","","","","","","",""
"Sartre, Jean Paul","Sartre, Jean-Paul","Sartre, Jean- Paul","Sartre, Jean Paul,","Sartre Jean-Paul","","","","","","","","","","","","","","","",""
"Area metropolitana de la Ciudad de México","Area metropolitana de la Ciudad de México (México)","Area Metropolitana de la Ciudad de México","Area Metropolitana de la ciudad de México (México)","Area metropolitana de la Ciudad de México (México","","","","","","","","","","","","","","","",""
"Conflictos de límites israelitas-árabes, 1949-","Conflictos de límites israelitas-árabes, 1949-****","Conflictos de límites israelitas-árabes, 1949","Conflictos de límites israelítas-árabes, 1949-","Conflictos de límites israelítas-árabes, 1949-****","","","","","","","","","","","","","","","",""
"Lukács, György","Lukács, Gyorgy","Lukacs, György","Lukacs, Gyorgy","Luka?cs, Gyo?rgy","","","","","","","","","","","","","","","",""
"San Luis Potosí (México)","San Luis Potosí, México","San Luis Potosí (San Luis Potosí, México)","San Luis Potosí (México )","San Luis Potosi (México)","","","","","","","","","","","","","","","",""
"Túpac Amaru, José Gabriel","Tupac Amaru, José Gabriel","Tupac-Amaru, José Gabriel","Tupac-Amaru, Jose? Gabriel","Tupac Amaru, José Gabriel,","","","","","","","","","","","","","","","",""
"Kim, Il-sông","Kim, Il-song","Kim, Sông-il","Kim, il-Sông","Kim, Il-Song","","","","","","","","","","","","","","","",""
"Vargas, Getulio","Vargas, Getúlio","Vargas, Getúlio,","Vargas Getulio","Vargas, Getúlio ","","","","","","","","","","","","","","","",""
"Guerra árabe-israelí, 1967","Guerra árabe-israelí, 1967-","Guerra árabe-israelí, 1967-****","Guerra Árabe-Israelí, 1967","Guerra Árabe-Israelí, 1967-","","","","","","","","","","","","","","","",""
"São Paulo (Brasil : Estado)","São Paulo, Brasil (Estado)","São Paulo (Estado, Brasil)","São Paulo (Estado : Brasil)","Sao Paulo, Brasil (Estado)","","","","","","","","","","","","","","","",""
"Océano Indico, Región del","Oceano Indico, Región del","Océano Indíco, Región del","Región del Océano Indico","Oceano Indico, Region del","","","","","","","","","","","","","","","",""
"Partido Demócrata Cristiano, Chile","Partido Demócrata-Cristiano, Chile","Partido Demócrata-Cristiano (Chile)","Partido Demócrata Cristiano (Chile)","Partido Democrata Cristiano, Chile","","","","","","","","","","","","","","","",""
"San Cristóbal de las Casas, Chiapas","San Cristóbal de las Casas (Chiapas)","San Cristobal de las Casas, Chiapas","San Cristóbal de Las Casas, Chiapas","San Cristóbal de Las Casas (Chiapas)","","","","","","","","","","","","","","","",""
"al-Ghazzali","al-Ghazzãli","Al-ghazzali","Al-Ghazzali","Al Ghazzali","","","","","","","","","","","","","","","",""
"Rio de la Plata (Región : Argentina y Uruguay)","Río de la Plata, Región (Argentina y Uruguay)","Rio de la Plata (Argentina y Uruguay : Región)","Río de la Plata (Argentina y Uruguay : Región)","Rio de la Plata (Región) (Argentina y Uruguay)","","","","","","","","","","","","","","","",""
"Guerra púnica, 2a., 218-201 a.C.","Guerra Púnica, 2a, A.C. 218-201","Guerra púnica, 2a, A.C. 218-201","Guerra Púnica, 2a., a.C. 218-201","Guerra Púnica, 2a, a.C. 218-201","","","","","","","","","","","","","","","",""
"Prajñãpãramitãs","Prajñãparamitãs","Prajñaparamitas","Prajnãpãramitas","Prajnaparamitas","","","","","","","","","","","","","","","",""
"Desarrollo económico","Desarrollo ecónomico","Desarrollo económico ","Desarrollo Económico","","","","","","","","","","","","","","","","",""
"Educación superior","Educación Superior","Educación superior ","Educacion superior","","","","","","","","","","","","","","","","",""
"América Central","Central America","America Central","Central America.","","","","","","","","","","","","","","","","",""
"Guerra mundial, 1939-1945","Guerra Mundial, 1939-1945","Guerra mundial 1939-1945","GUerra Mundial, 1939-1945","","","","","","","","","","","","","","","","",""
"Política monetaria","Politica monetaria","Política monetaría","Política Monetaria","","","","","","","","","","","","","","","","",""
"Salud pública","Salud Pública","Salúd pública","Salud publica","","","","","","","","","","","","","","","","",""
"Guatemala","Guatemala (Guatemala)","Guatemala.","Guatemala, Guatemala","","","","","","","","","","","","","","","","",""
"Ciudad de México (México)","México (Ciudad de México)","Ciudad de México, México","Ciudad de México","","","","","","","","","","","","","","","","",""
"Inflación (Finanzas)","Inflación (finanzas)","Inflación (Finanzas-)","Inflacion (Finanzas)","","","","","","","","","","","","","","","","",""
"Poder (Ciencias sociales)","Poder (Ciencias Sociales)","Poder (ciencias sociales)","Poder (Ciencias sociales )","","","","","","","","","","","","","","","","",""
"Biblia","biblia","Biblia.","[Biblia","","","","","","","","","","","","","","","","",""
"Literatura mexicana","Literatura mexicana.","Literatura mexicana -","Literatura Mexicana","","","","","","","","","","","","","","","","",""
"Cervantes Saavedra, Miguel de","Cervantes Saavedra, Miguel de,","Cervantes Saavedra. Miguel de","Cervantes Saavedra Miguel de","","","","","","","","","","","","","","","","",""
"Macroeconomía","Macroeconomia","Macroeconómia","Macroeconomi?a","","","","","","","","","","","","","","","","",""
"Psicología social","Psicología Social","Psicologia social","psicologia social","","","","","","","","","","","","","","","","",""
"Conocimiento, Teoría del","Teoría del conocimiento","Conocimiento, Teoria del","Conocimiento, teoría del","","","","","","","","","","","","","","","","",""
"Bolívar, Simón","Bolivar, Simón","Bolívar, Simón,","Boli?var, Simo?n","","","","","","","","","","","","","","","","",""
"Haití","Haiti","haití","Haíti","","","","","","","","","","","","","","","","",""
"Cinematografía","Cinematógrafía","Cinematográfia","Cinematografia","","","","","","","","","","","","","","","","",""
"Poesía mexicana","Poesía mexicana.","Poesía Mexicana","Poesia mexicana","","","","","","","","","","","","","","","","",""
"Elite (Ciencias sociales)","Elite (Ciencias Sociales)","Elite (ciencias sociales)","Elite (Ciencias sociales )","","","","","","","","","","","","","","","","",""
"Países árabes","Paises árabes","Páises árabes","Países Árabes","","","","","","","","","","","","","","","","",""
"SIDA (Enfermedad)","Sida (Enfermedad)","SIDA (enfermedad)","SIDA (Enfermedad","","","","","","","","","","","","","","","","",""
"Política urbana","Política Urbana","Politica urbana","Politíca urbana","","","","","","","","","","","","","","","","",""
"Psicolingüística","Psicolinguística","Psicolíngüistica","PsicolingÜística","","","","","","","","","","","","","","","","",""
"Educación bilingüe","Educación bilingúe","Educación bilingue","Educacion bilingüe","","","","","","","","","","","","","","","","",""
"Bibliografía","Bibliografía.","bibliografia","Bibliografia","","","","","","","","","","","","","","","","",""
"Ajuste estructural (Política económica)","Ajuste estructural (Pólitica económica)","Ajuste estructural (Política económica","Ajuste estructural (Política economica)","","","","","","","","","","","","","","","","",""
"Indios de Hispanoamérica","Indios de hispanoamérica","Indios de hispanoamerica","Indios de Hispanoamerica","","","","","","","","","","","","","","","","",""
"Nahuas (Indios)","Náhuas (Indios)","Nahuas Indios","Nahuas (indios)","","","","","","","","","","","","","","","","",""
"Cortés, Hernán","Cortés, Hernan","Cortés Hernán","Corte?s, Herna?n,","","","","","","","","","","","","","","","","",""
"Chiapas (México)","Chiapas (Mexico)","Chiapas, México","Chiapas México","","","","","","","","","","","","","","","","",""
"Poesía hispanoamericana","Poesía hispanoaméricana","Poesía Hispanoamericana","Poesia hispanoaméricana","","","","","","","","","","","","","","","","",""
"Pluralismo (Ciencias sociales)","Pluralismo (Ciencias Sociales)","Pluralismo (Ciencias sociales) ","Pluralismo (Ciencias sociales","","","","","","","","","","","","","","","","",""
"Literatura latinoamericana","Literatura latinoaméricana","Literatura Latinoaméricana","Literatura Latinoamericana","","","","","","","","","","","","","","","","",""
"Cárdenas, Lázaro","Cárdenas, Lazaro","Cardenas, Lazaro","Ca?rdenas, La?zaro,","","","","","","","","","","","","","","","","",""
"Calderón de la Barca, Pedro","Calderón de la Barca, Pedro,","Calderon de la Barca, Pedro","Caldero?n de la Barca, Pedro","","","","","","","","","","","","","","","","",""
"Policía","Policia","Polícia","Polícía","","","","","","","","","","","","","","","","",""
"Bilingüismo","Bilingüísmo","Bilinguísmo","Bilinguismo","","","","","","","","","","","","","","","","",""
"Lenin, Vladimir Ilich","Lenin, Vladimir Il'ich","Lenin, Vladimir Il´ich","Lenin, Vladimir Il’ich","","","","","","","","","","","","","","","","",""
"Música folklórica","Música folklorica","Musica folklorica","Musica folklórica","","","","","","","","","","","","","","","","",""
"Educación superior y estado","Educación superior y Estado","Educacion superior y estado","Educación Superior y estado","","","","","","","","","","","","","","","","",""
"Darío, Rubén","Darío, Rúben","Dario, Rubén","Darío, Ruben","","","","","","","","","","","","","","","","",""
"Casas, Bartolomé de las","Casas, Bartolome? de las,","Casas, Bartolome de las","Casas Bartolomé de las","","","","","","","","","","","","","","","","",""
"Túnez","Túnez ","Tunéz","Tunez","","","","","","","","","","","","","","","","",""
"Oaxaca (México : Estado)","Oaxaca (México : Estado))","Oaxaca (México: Estado)","Oaxaca (Estado, México)","","","","","","","","","","","","","","","","",""
"Narración (Retórica)","Narración (Rétorica)","Narración Retórica","Narración (Rétórica)","","","","","","","","","","","","","","","","",""
"Mao, Tse-tung","Mao-Tse-tung","Mao, Tse-tung,","Mao, Tse-tung ","","","","","","","","","","","","","","","","",""
"Nuevo León (México : Estado)","Nuevo León (México: Estado)","Nuevo Léon (México : Estado)","Nuevo León (México :Estado)","","","","","","","","","","","","","","","","",""
"Lingüística histórica","Linguística histórica","Linguistica histórica","Lingúística histórica","","","","","","","","","","","","","","","","",""
"Chiapas (México : Estado)","Chiapas (Estado, México)","Chiapas (México: Estado)","Chiapas  (México : Estado)","","","","","","","","","","","","","","","","",""
"Petróleos Mexicanos","Petroleos Mexicanos","Petróleos Méxicanos","Petroléos Mexicanos","","","","","","","","","","","","","","","","",""
"Lingüística comparada","Lingúística comparada","Lingüistica comparada","Linguística comparada","","","","","","","","","","","","","","","","",""
"Producción (Teoría económica)","producción (Teoría económica)","Producción (teoría económica)","Producción (Teoría económica) ","","","","","","","","","","","","","","","","",""
"Holocausto judío (1939-1945)","Holocausto judío, 1939-1945","Holocausto Judío (1939-1945)","Holocausto judio, 1939-1945","","","","","","","","","","","","","","","","",""
"Quechuas (Indios)","Quechúas (Indios)","Quechuás (Indios)","Quechuas (indios)","","","","","","","","","","","","","","","","",""
"Puebla (México : Estado)","Puebla (México: Estado)","Puebla, México (Estado)","Puebla (Estado : México)","","","","","","","","","","","","","","","","",""
"Lingüística matemática","Linguística matemática","lingüística matemática","Linguistica matemática","","","","","","","","","","","","","","","","",""
"Quebec, Canadá","Québec, Canadá","Québec (Canadá)","Quebéc, Canadá","","","","","","","","","","","","","","","","",""
"Insumo-producto","Insumo-Producto","Insumo producto","Insumo -producto","","","","","","","","","","","","","","","","",""
"Zacatecas (México : Estado)","Zacatecas (México: Estado)","Zacatecas (Estado : México)","Zacatecas (México. Estado)","","","","","","","","","","","","","","","","",""
"Lingüística aplicada","Linguística aplicada","Lingüistica aplicada","Linguistíca aplicada","","","","","","","","","","","","","","","","",""
"Querétaro (México : Estado)","Quéretaro (México : Estado)","Querétaro (México: Estado)","Quere?taro (México : Estado)","","","","","","","","","","","","","","","","",""
"Lingüística estructural","Linguística estructural","Lingüistica estructural","Lingúística estructural","","","","","","","","","","","","","","","","",""
"Política lingüística","Política linguística","Política lingüistica","Política línguística","","","","","","","","","","","","","","","","",""
"Machiavelli, Niccolò","Machiavelli, Niccolo","Machiavèlli, Niccolò","Machiavelli, Niccoló","","","","","","","","","","","","","","","","",""
"Guerra fría","Guerra Fría","Guerra fria","Guerra Fria","","","","","","","","","","","","","","","","",""
"Agresividad (Psicología)","Agresividad (psicología)","Agresividad (Psicología).","Agresividad (Psicologia)","","","","","","","","","","","","","","","","",""
"Trujillo Molina, Rafael Leónidas","Trujillo Molina, Rafael Léonidas","Trujillo Molina, Rafael Leónidas,","Trujillo Molina, Rafael Leonidas","","","","","","","","","","","","","","","","",""
"Habermas, Jürgen","Jürgen, Habermas","Habermas, Jürgen ","Habermas, Jurgen","","","","","","","","","","","","","","","","",""
"Campeche (México : Estado)","Campeche (Estado, México)","Campeche (Campeche, México : Estado)","Campeche (México : Estado))","","","","","","","","","","","","","","","","",""
"Antioquia, Colombia","Antioquía, Colombia","Antioquia (Colombia)","Antíoquia, Colombia","","","","","","","","","","","","","","","","",""
"Ingeniería hidráulica","Ingeniería hidraúlica","Ingeniería hidraulica","Ingenieria hidráulica","","","","","","","","","","","","","","","","",""
"Durango (México : Estado)","Durango, México (Estado)","Durango (México, Estado)","Durango (Estado : México)","","","","","","","","","","","","","","","","",""
"Golfo Pérsico, Región del","Región del Golfo Pérsico","Region del Golfo Pérsico","Golfo Persico, Región del","","","","","","","","","","","","","","","","",""
"Economía política","Economía política ","Economía Política","Economia política","","","","","","","","","","","","","","","","",""
"Río Amazonas","Amazonas, Río","Amazonas, río","Amazonas (río)","","","","","","","","","","","","","","","","",""
"Guadalajara (Jalisco, México)","Jalisco (Guadalajara, México)","Guadalajara (Jalisco : México)","Guadalajara (Jalisco , México)","","","","","","","","","","","","","","","","",""
"Literatura latina medieval y moderna","Literatura latina, medieval y moderna","Literatura, latina medieval y moderna","Literatura latina (Medieval y moderna)","","","","","","","","","","","","","","","","",""
"Liquidez (Economía política)","Liquidez (economía política)","Liquidez (Económia política)","Liquidez (Economía Política)","","","","","","","","","","","","","","","","",""
"No (Teatro japonés)","Nõ (Teatro japonés)","Nô (Teatro japonés)","No (Teatro Japonés)","","","","","","","","","","","","","","","","",""
"México$$kLeyes, estatutos, etc.","México$$kLeyes, estatútos, etc.","México$$kLeyes, estatutos, etc","México$$kLeyes estatutos, etc.","","","","","","","","","","","","","","","","",""
"Díaz del Castillo, Bernal","Diaz del Castillo, Bernal","Díaz del Castillo Bernal","Di?az del Castillo, Bernal","","","","","","","","","","","","","","","","",""
"Rodó, José Enrique","Rodó, José Enríque","Rodo, José Enríque","Rodo, José Enrique","","","","","","","","","","","","","","","","",""
"Détente","Detente","Deténte","Déténte","","","","","","","","","","","","","","","","",""
"Vives, Juan Luis","Vives, Juan Luís","Vives, Juan Luis,","Vives, Juan luis","","","","","","","","","","","","","","","","",""
"Kennedy, John F$$qJohn Fitzgerald","Kennedy, John F.$$qJohn Fitzgerald","Kennedy, John F.$$q(John Fitzgerald),","Kennedy, John F.$$q(John Fitzgerald)","","","","","","","","","","","","","","","","",""
"Teoría minimalista (Lingüística)","Minimalista, Teoría (Lingüística)","Teoría minimalista (Lingüistica)","Teoría minimalista (Linguística)","","","","","","","","","","","","","","","","",""
"Malthus, T. R$$qThomas Robert","Malthus, T. R.$$qThomas Robert","Malthus, T. R.$$q(Thomas Robert),","Malthus, T. R.$$q(Thomas Robert)","","","","","","","","","","","","","","","","",""
"Balzac, Honoré de","Balzac, Honore de","Balzac, Honorè de","Balzac, Honore? de,","","","","","","","","","","","","","","","","",""
"Anáfora (Lingüística)","Anáfora (Linguística)","Anafora (Lingüística)","Anafora (Linguística)","","","","","","","","","","","","","","","","",""
"Lingüística contrastiva","Lingüistica contrastiva","Lingúística contrastiva","Linguística contrastiva","","","","","","","","","","","","","","","","",""
"Tierra-Tenencia, Derecho de","Tierra, Tenencia Derecho de","Tierra, Tenencia, Derecho de","Tierra, tenencia Derecho de","","","","","","","","","","","","","","","","",""
"Siva (Deidad hindú)","Siva (Deidad hindu)","Siva (deidad hindú)","Siva (Deidad Hindú)","","","","","","","","","","","","","","","","",""
"Instituto Nacional de Antropología e Historia (México)","Instituto Nacional de Antropología e Historia, México","Instituto Nacional de Antropología e Historia (México).","Instituto Nacional de Antropologi?a e Historia (México)","","","","","","","","","","","","","","","","",""
"Morelia (Michoacán, México)","Morelia (Michoacán : México)","Morelia, Michoacán (México)","Morelia (México : Michoacán)","","","","","","","","","","","","","","","","",""
"Leonardo da Vinci","Leonardo, da Vinci","Vinci, Leonardo da","Leonardo da Vincí","","","","","","","","","","","","","","","","",""
"Córdoba, España","Córdoba (España)","Cordóba, España","Cordoba, España","","","","","","","","","","","","","","","","",""
"Bush, George W$$qGeorge Walker","Bush, George W.$$qGeorge Walker","Bush, George W$$q(George Walker)","Bush, George W.$$q(George Walker)","","","","","","","","","","","","","","","","",""
"Parti Communiste Francais","Parti Communiste Français","Parti communiste français","Parti communiste francais","","","","","","","","","","","","","","","","",""
"Guzmán, Martín Luis","Guzman, Martín Luis","Guzmán, Martín Luis,","Guzmán, Martin Luis","","","","","","","","","","","","","","","","",""
"Río de la Plata","Rio de la Plata","Río de la Plata ","Río de La Plata","","","","","","","","","","","","","","","","",""
"Rosa, João Guimarães","Rosa, João Guimaráes","Rosa, Jo~ao Guimar~aes","Rosa, Joa@~o Guimara@~es","","","","","","","","","","","","","","","","",""
"Literatura quechua","Literatura quéchua","Literatura quechúa","Literatura Quechua","","","","","","","","","","","","","","","","",""
"Unión Cívica Radical, Argentina","Unión Cívica Radical (Argentina)","Unión Civica Radical, Argentina","Union Cívica Radical, Argentina","","","","","","","","","","","","","","","","",""
"Rio de Janeiro (Brasil)","Río de Janeiro, Brasil","Río de Janeiro (Brasil)","Rio de Janeiro, Brasil","","","","","","","","","","","","","","","","",""
"Medellín, Colombia","Medellín (Colombia)","Medellin, Colombia","Medellin (Colombia)","","","","","","","","","","","","","","","","",""
"Nixon, Richard M$$qRichard Milhous","Nixon, Richard M.$$q(Richard Milhous),","Nixon, Richard M.$$qRichard Milhous","Nixón, Richard M.$$q(Richard Milhous)","","","","","","","","","","","","","","","","",""
"Nilo, Río","Nilo (Río)","Río Nilo","Nilo, Rio","","","","","","","","","","","","","","","","",""
"Guerra árabe-israelí, 1973","Guerra árabe-israelí, 1973-","Guerra árabe-israelí, 1973-****","Guerra árabe israelí, 1973-","","","","","","","","","","","","","","","","",""
"Mujeres en China (República Popular, 1949- )","Mujeres en China (República Popular, 1949-****)","Mujeres en China (República Popular, 1949-*****)","Mujeres en China (República Popular, 1949-)","","","","","","","","","","","","","","","","",""
"Atatürk, Kamal","Ataturk, Kamal","Atatürk, Kamâl","Ataturk, Kamâl","","","","","","","","","","","","","","","","",""
"Política mundial, 1945-****","Política mundial, 1945-","Política mundial, 1945","Política mundial 1945-","","","","","","","","","","","","","","","","",""
"Chichén Itzá, Yucatán","Chichen Itzá, Yucatán","Chichén-Itzá, Yucatán","Chichen Itza, Yucatán","","","","","","","","","","","","","","","","",""
"dBase IV (Programa de computación)","dBASE IV (Programa de computación)","Dbase IV (Programa de computación)","dBase IV (Programa de Computación)","","","","","","","","","","","","","","","","",""
