Palabra Original,Cambio,Ocurrencias
Microestructura,{'Micro estructura'},2
autoayuda,{'auto ayuda'},1
temporomaxilar,{'abióticas'},1
reggae,{'regare'},1
Criminólogos,{'Endocrinólogos'},1
Numismática,{'Carismática'},5
Napalm,{'Debele'},1
Cuadriplégicos,{'Cuadriplico'},1
termiónicos,{'Macro moléculas'},1
preferenciales,{'preferencia les'},2
Phillips,{'Lingüística'},1
Armamentismo,{'Armamentista'},2
Alutor,{'Autor'},1
orozquista,{'felicita'},1
Guettos,{'Guetos'},1
Ukiyoe,{'Ukiyoe'},1
Discografía,{'Disco grafía'},1
Fluídica,{'Malle'},1
Urano,{'Rano'},1
MARC,{'MAR'},1
Grafología,{'Morfología'},1
Dagan,{'Cagan'},1
Gimnospermas,{'Angiospermas'},1
Andrógenos,{'Hidrógenos'},1
Acustoóptica,{'Lame'},1
champiñones,{'Quinaquinas'},1
Fotónica,{'Fo tónica'},1
indización,{'indicación'},1
Hipertensión,{'Archas'},1
Estríperes,{'Diaspro'},1
Inmunoquímica,{'Osciló grafos'},1
Multidifusión,{'folclore'},1
Coeducación,{'Educación'},1
Africa,{'África'},28
Biblioteconomía,{'Beduinas'},7
Salamanca,{'Sala manca'},1
mexicanoamericana,{'mexicano americana'},1
policiaca,{'amenorare'},4
Vacunación,{'Valuación'},1
Calorímetros,{'Caloríferos'},1
petroquímica,{'petroleoquímica'},1
Serendipia,{'Aprendiesen'},2
indo-iraní,{'indo-irían'},1
Estuardo,{'Esturado'},1
Peki,{'salmonera'},1
alcídicas,{'alicaídas'},1
Etnometodología,{'Coyolxauhqui'},1
catalogación,{'Chapalea'},2
Salvatierra,{'Salva tierra'},1
Abasidas,{'Abatidas'},1
Xiang,{'Tara humara'},1
LDAP,{'TEN'},1
Acambay,{'Cambray'},1
Autoconstrucción,{'Auto construcción'},1
intergeneracionales,{'generacionales'},1
Globalización,{'Localización'},3
Hip-hop,{'Paleo indios'},1
Yakan,{'Yagan'},1
Huimilpan,{'Palpan'},1
Optica,{'Óptica'},3
argénticos,{'auto dirigidos'},1
CAD,{'CA'},1
hispanoestadounidenses,{'hispano estadounidenses'},11
order,{'morder'},1
vitae,{'vitar'},1
diesel,{'diésel'},2
Agave,{'Agrave'},1
Sijs,{'Alabara'},1
chiapanecas,{'chicanearas'},1
bibliografías,{'bibliográficas'},1
Cauca,{'Auca'},2
Ashanti,{'Absentismo'},1
Perl,{'Perú'},1
helenística,{'Socio biología'},2
neuropsicológicas,{'neurológicas'},1
Rinzai,{'Brinza'},3
Mapotecas,{'Apotegmas'},1
chinantecas,{'chinan tecas'},1
delahuertista,{'convencionalismo'},2
UML,{'PI'},1
religious,{'religioso'},1
Casuística,{'Casticista'},1
Ecfrasis,{'Debele'},1
asintóticas,{'asintomáticas'},1
Forest,{'Foresta'},1
fundamentalism,{'fundamentalmente'},1
Metabolista,{'Metabolismo'},1
Aspergillus,{'Asperillas'},1
Guanajuato,{'Aba solo'},32
Drosofila,{'Genealogistas'},2
Popoluca,{'Popo locas'},1
Antroposofía,{'Predominancia'},2
Serigrafía,{'Epigrafía'},1
Histosoles,{'Historiales'},1
Hanh,{'Han'},1
Rastafaris,{'Agraristas'},1
Dermatología,{'electro químico'},6
Manierismo,{'Germanismo'},1
Electroquímica,{'Electro química'},2
Suajili,{'Magreares'},1
Anorgasmia,{'Erasmiano'},1
isotópica,{'isotónica'},1
Cerdeña,{'Árbol'},7
ergódica,{'LISO'},1
Bandoneón,{'Bando neón'},1
Pederastía,{'Pederastia'},1
Bentonita,{'Benita'},1
protón,{'portón'},1
Sociometría,{'Odontología'},1
Categorización,{'Caracterización'},1
Espectroscopía,{'Espectroscopia'},5
iraní,{'irían'},1
Microtécnica,{'Micro técnica'},1
Tzeltales,{'Saltareles'},1
reubicación,{'re ubicación'},1
Colorimetría,{'auto morfas'},1
Epidemiología,{'Auto construcción'},1
Degustación,{'De gustación'},1
Presocráticos,{'Cochinamente'},1
Fullerenos,{'Fullerescos'},1
Riddles,{'Chitas'},1
ortogonalización,{'racionalización'},1
Autorradiografía,{'Autor radiografía'},1
Nanotecnología,{'Biotecnología'},1
neutrones,{'neutros'},1
Nigerianos,{'Nigeria nos'},2
Hindús,{'Hindú'},1
Autocontrol,{'Auto control'},1
Modems,{'Especialización'},1
Porfirio,{'Porfirizo'},1
Inaco,{'Naco'},1
Fay,{'Ay'},1
puertorriqueña,{'Auto construcción'},2
Dunkirki,{'Dunkirki'},1
Trek,{'Treo'},1
Gramaticalización,{'Racionalización'},1
Janeiro,{'Emancipa'},3
bayesiana,{'anti monopolio'},1
Menarquía,{'Monarquía'},1
Medium,{'Minga'},1
retriever,{'entrever'},1
Curriculum,{'Rifarrafa'},1
helenístico,{'comen'},1
Asceticismo,{'Ascetismo'},1
Marginación,{'África'},4
Coroneo,{'Corone'},1
Waka,{'Ji tomates'},1
Kiowas,{'Ali'},1
Subdeclaración,{'Supranacional'},1
Heteroscedasticidad,{'Exterioridades'},1
Constantino,{'Constan tino'},1
obstétrica,{'Polisacáridos'},2
Pastiche,{'Jadeo-español'},1
Galeana,{'Galena'},1
Neuropsicofarmacología,{'abióticas'},1
Self-employed,{'Self-employed'},1
migrantes,{'emigrantes'},1
villista,{'vil lista'},1
Radiogalaxias,{'Radio galaxias'},1
Supervisión,{'Supervisan'},2
Teleauditorio,{'Tele auditorio'},1
Orfeo,{'Orfo'},1
automorfas,{'auto morfas'},1
puertorriqueño,{'ALGO'},1
Arqueoastronomía,{'Arqueo astronomía'},1
Kung,{'Kong'},1
Atacama,{'Atacara'},1
Otavalo,{'Pamplina'},1
Huautla,{'Moleros'},1
burgdorferi,{'Micro estructura'},1
Tarandacuao,{'Osé'},2
nigerianos,{'wagnerianos'},1
sebáceas,{'Calman'},1
Orestes,{'Restes'},1
Tepic,{'Durando'},1
Hindutva,{'Tonal'},1
Satira,{'Sátira'},1
Nudibranquios,{'Lintel'},1
Coscomatepec,{'Vera cruz-Llave'},1
Placodermos,{'Acoderamos'},1
Micropaleontología,{'Malle'},1
Tsushima,{'Tsushima'},1
Juli,{'Julo'},1
superpesados,{'superados'},1
Osmosis,{'Ósmosis'},1
law,{'la'},1
Interaccionismo,{'Intervencionismo'},1
Xicohtzinco,{'Xicohtzinco'},1
Especiación,{'Especialización'},1
Pitagorismo,{'salmonera'},1
Neuroendocrinología,{'Neuroendocrino'},1
Gauss,{'USO'},1
obregonista,{'convencionalismo'},1
Cristalografía,{'Cristalográfica'},4
Palinología,{'Paleo botánica'},1
Zapotlán,{'Acapullo'},1
Sepoy,{'cartográfica'},1
Córcega,{'Auditas'},1
Densitometría,{'Cambia'},1
Huaylas,{'Gaza'},1
Commonwealth,{'Non linear'},1
urogenital,{'uro genital'},3
Autenticación,{'Autentican'},1
contrastiva,{'contractiva'},1
Interfases,{'Internases'},1
Constructivismo,{'Constructivo'},4
Atapascos,{'Atascos'},1
Pehuenches,{'MAR'},1
Náhuatl,{'Legislaturas'},1
Himalaya,{'Oros'},1
Siempreverdes,{'Siempre verdes'},1
Mam,{'Man'},1
Antón,{'Anón'},1
autoinmunes,{'auto inmunes'},1
durkheimiana,{'Helamiento-Jacobi'},1
Caesalpinia,{'Siempre verdes'},1
Yezidis,{'Malacia'},1
hidalguense,{'ahidalgase'},1
Ewé,{'Erasmiano'},2
Fotomontaje,{'Foto montaje'},1
Baader-Meinhof,{'Baderna-Meinhof'},1
transgénicas,{'jerarquizan'},1
Xoxocotlán,{'Xoxocotlán'},1
Soccer,{'Socorrer'},1
Beisbolistas,{'Simbolistas'},1
Sedentarización,{'Mali'},1
close-up,{'coles-up'},1
Waqf,{'Astucias'},1
Indoarios,{'Indo arios'},1
Alaska,{'Alas ka'},2
Inmunoinformática,{'Útero'},1
Bivalvia,{'Bivalva'},1
Pachacamac,{'Machacar'},1
Reforestación,{'Re forestación'},2
homológica,{'Video grabadoras'},1
Biomoléculas,{'Radio galaxias'},1
Palm,{'Pal'},1
Iconocidad,{'Conocida'},1
cambiarias,{'cambiarías'},1
Pamplona,{'Pamplina'},1
Interceptación,{'Interpretación'},1
Arabé-Israelí,{'Árabe-Israelí'},1
Mesoamérica,{'Meso américa'},1
Atizipán,{'Nezahualcoyótl'},1
algebráicos,{'Cuadriplico'},1
Democratización,{'Democratizan'},1
posparto,{'pos parto'},1
Bororós,{'Boros'},1
Tlaxcoapan,{'Acapullo'},1
Tutoría,{'Tutora'},2
Escandinavia,{'Escandinava'},1
Borland,{'Borrando'},1
Biculturalismo,{'Tsushima'},2
Onas,{'Unas'},1
Intranets,{'OC'},1
Beagle,{'Rife ño'},1
Silabación,{'Ablación'},1
Locus,{'Locas'},1
Portland,{'Lame'},1
Ixiles,{'institucionalmente'},1
Edafología,{'Dominando'},1
Ebola,{'Bola'},1
Biosíntesis,{'Fotosíntesis'},1
hondureños,{'Tarquín'},2
transdérmica,{'Rayar'},1
neural,{'neutral'},2
Tarahumara,{'Tara humara'},1
Senegaleses,{'Senegal eses'},1
Yucatán,{'Vallado lid'},9
Extraterritorialidad,{'Extra territorialidad'},1
Xipe,{'Pipe'},2
Brahman,{'Braman'},1
Puertorriqueños,{'Erasmiano'},1
Yaquis,{'Raquis'},1
Antihéroes,{'Anti héroes'},1
Lofts,{'Rijo'},1
Excel,{'Malle'},1
cromosómico,{'microscópico'},1
Mezcal,{'Mezcla'},1
Maravatío,{'Osé'},1
Macintosh,{'TEN'},1
niger,{'rigen'},1
Francmasones,{'Francmasonerías'},1
Transubstanciación,{'Transustanciación'},1
Lógiva,{'Amoratas'},1
Taoismo,{'Pirronismo'},2
interbibliotecario,{'Documentales'},1
Nahualismo,{'Nacionalismo'},3
Pearl,{'Peral'},1
Wolof,{'Wirikuta'},1
Japonésamericanos,{'Japonés americanos'},1
Planeacion,{'Pion'},1
terapeútica,{'Parapsicología'},1
antisegregación,{'anti segregación'},1
Economic,{'Economice'},1
Sinólogos,{'Monólogos'},1
Lexicografía,{'Historio grafía'},1
Quetzalcóatl,{'amenorare'},1
Fotogrametría,{'Fotografiaría'},1
Judges,{'neo gótica'},1
CompuServe,{'Compusiere'},1
estereoscópica,{'estereoscopio'},1
Psicometría,{'Gestual'},1
Shelby,{'Espata'},1
Carcinogénesis,{'Carburaciones'},1
Cocainomanía,{'Tipógrafos'},1
Tepetlixpa,{'Tepetlixpa'},1
Piapoco,{'Pi apoco'},1
neurales,{'neutrales'},2
Oluteco,{'ir anís'},1
noctis,{'primea'},1
literartura,{'literatura'},1
Checoslovaquia,{'Checoslovaco'},9
Autorregresión,{'Autor regresión'},1
Calvillo,{'Clavillo'},1
Coreógrafos,{'Coreó grafos'},1
Foraminíferos,{'Malle'},1
Girondinos,{'Dirigiéndonos'},1
Termotecnia,{'Mnemotecnia'},1
Samurai,{'Electrónica'},1
Golden,{'Rolden'},1
approach,{'Tema'},1
Toxicomanía,{'Toxico manía'},1
Pentatlón,{'Remo delación'},1
Hidrografía,{'Cronometraría'},2
componencial,{'Mate'},1
Altamira,{'Altamisa'},1
Miguel,{'Migue'},2
Taquifrafía,{'Taquigrafía'},1
Moctezuma,{'Causa'},1
Diglosia,{'Soga'},1
Kapalikas,{'Acalla'},1
queer,{'querer'},2
Etnofarmacología,{'pegas'},1
neogótica,{'neo gótica'},1
sistémica,{'Amoratas'},2
Lyme,{'Lame'},1
demócratacristianos,{'demócrata cristianos'},1
Raousset,{'Corazones'},1
Geiseres,{'corolarios'},1
Crucis,{'Cruces'},1
Ayotzinapa,{'Mali'},1
New,{'Ne'},1
variacionales,{'vacacionales'},1
futbol,{'Abolicionistas'},2
Tulipmanía,{'Especialización'},1
gestáltica,{'asirio babilónica'},1
Exempla,{'Luso-Priscilianistas'},1
Morfosintaxis,{'Morfo sintaxis'},1
Pentecostistas,{'Repentistas'},1
Ontogenia,{'Concrescencias'},1
Ada,{'Da'},1
Dominancia,{'Predominancia'},2
Ecoetiquetado,{'Eco etiquetado'},1
Charadriiformes,{'Caradriformes'},1
aldólica,{'Video grabadoras'},1
Sobrecargos,{'Sobrecargo'},1
Lateralidad,{'Literalidad'},1
Avant-garde,{'PI'},2
Miraflores,{'Mira flores'},1
Déficits,{'Déficit'},1
Dafne,{'Adamismo'},2
Pichincha,{'Pi chincha'},1
afroasiática,{'zapo tecas'},1
antiimperialistas,{'anti imperialistas'},1
Asian,{'Asían'},1
Gerontólogos,{'Foresta'},1
Codependencia,{'Drogodependencia'},1
Geofísica,{'Calman'},2
Winnebago,{'Tara humara'},2
Chiapas,{'Chispas'},11
Normalización,{'Nacionalización'},1
Perfeccionismo,{'Perfeccionador'},1
Anoxia,{'Anoria'},1
Peleolítico,{'Paleolítico'},1
Balcanes,{'Bancales'},2
Quezaltenango,{'cañar'},1
2a,{'a'},1
Nappatecuhtli,{'Nappatecuhtli'},2
Comunitarismo,{'Comunitario'},1
Malverde,{'Malverse'},1
Maple,{'Malle'},1
avícola,{'Remo delación'},1
Gini,{'Gin'},1
Dewey,{'AX'},2
Filologia,{'Filología'},1
carbohidratos,{'hidrosilicatos'},1
Lumbosacro,{'Lumbo sacro'},1
Yuit,{'O'},1
Acido,{'Ácido'},3
Chapala,{'Chapalea'},1
huichol,{'Radio galaxias'},3
Orbitas,{'Órbitas'},1
Amuzgo,{'Para texto'},1
Overweight,{'Overweight'},1
Tagmémica,{'Punamos'},1
observations,{'observatorios'},1
Shuar,{'Seminales'},1
Oryctolagus,{'Oryctolagus'},1
soccer,{'socorrer'},1
Literary,{'Literaria'},1
Ifa,{'Fa'},1
cuniculus,{'Oryctolagus'},1
Tengu,{'Tenga'},1
Astriónica,{'Astricción'},1
luba,{'bula'},1
cardiacas,{'ego'},2
Negatividad,{'Dogos'},1
Habeas,{'Rabeas'},1
antinarcóticos,{'anti narcóticos'},1
Qu,{'U'},1
anódica,{'sinódica'},1
Psicobiología,{'d Base'},3
Pimas,{'Rimas'},1
aymara,{'amara'},2
Amoritas,{'Amoratas'},1
Infibulación,{'Tribulación'},1
Performanceros,{'gamo'},1
Ixtaczoquitlán,{'Vera cruz-Llave'},1
Paramitas,{'Para mitas'},1
Nayarit,{'Tejo cote'},2
African,{'Frican'},2
Polisíntesis,{'In fijos'},1
Chicomecóatl,{'jadeo-españoles'},2
antiesclavistas,{'anti esclavistas'},1
sinotibetanas,{'sino tibetanas'},1
Bibliografías,{'Bibliográficas'},5
molesters,{'molestes'},1
Sarasvati,{'Trasvasar'},2
Astrofotometría,{'Malle'},1
Chamula,{'Chamulla'},1
Carbonarios,{'Carbonatos'},1
hardware,{'organizarles'},1
Lerma,{'Merma'},1
rección,{'reacción'},1
Yafar,{'Gafar'},1
Astrofísica,{'Astro física'},4
Mitlancihuátl,{'Mitlancihuátl'},2
Gaddang,{'Jangada'},1
Hipólita,{'Hipó lita'},1
biomédica,{'gerencia'},1
Autoincriminación,{'Autodeterminación'},1
protectorales,{'protectora les'},1
